member_id,committee_id,party_id,bill_id,bill_title,committee_history.committee_1,committee_history.committee_2,committee_history.committee_1_start_date,committee_history.committee_1_end_date,committee_history.committee_2_start_date,committee_history.committee_2_end_date,party_history.party_1,party_history.party_1_start_date,party_history.party_1_end_date,party_history.party_2,party_history.party_2_start_date,party_history.party_2_end_date,name,gender,district,member_start_date,member_end_date,birthyear
CNW5754J,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",/미래통합당/국민의힘,0,,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회","법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",,,,,/미래통합당/국민의힘,,,/미래통합당/국민의힘,,,송석준,남,경기 이천시/경기 이천시/경기 이천시,,,
6EN68926,"정보위원회, 국회운영위원회, 외교통일위원회",미래통합당/국민의힘,0,,"정보위원회, 국회운영위원회, 외교통일위원회","정보위원회, 국회운영위원회, 외교통일위원회",,,,,/미래통합당/국민의힘,,,/미래통합당/국민의힘,,,송언석,남,경북 김천시/경북 김천시/경북 김천시,,,
PAO22428,,///더불어민주당/더불어민주당,0,,,,,,,,///더불어민주당/더불어민주당,,,///더불어민주당/더불어민주당,,,송영길,남,인천 계양구/인천 계양구을/인천 계양구을/인천 계양구을/인천 계양구을,,,
3249208I,농림축산식품해양수산위원회,더불어민주당/더불어민주당/더불어민주당,0,,농림축산식품해양수산위원회,농림축산식품해양수산위원회,,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,송옥주,여,비례대표/경기 화성시갑/경기 화성시갑,,,
LM13674V,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,송재호,남,제주 제주시갑,,,
G1570880,,더불어민주당/더불어민주당,0,,,,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,신동근,남,인천 서구을/인천 서구을,,,
AFH96856,국토교통위원회,더불어민주당/더불어민주당,0,,국토교통위원회,국토교통위원회,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,신영대,남,전북 군산시/전북 군산시김제시부안군갑,,,
SRP7336N,,미래한국당,0,,,,,,,,미래한국당,,,미래한국당,,,신원식,남,비례대표,,,
M7O7878U,행정안전위원회,/더불어민주당/더불어민주당,0,,행정안전위원회,행정안전위원회,,,,,/더불어민주당/더불어민주당,,,/더불어민주당/더불어민주당,,,신정훈,남,전남 나주시화순군/전남 나주시화순군/전남 나주시화순군,,,
F5Y4026Q,,더불어시민당,0,,,,,,,,더불어시민당,,,더불어시민당,,,신현영,여,비례대표,,,1980-11-17T00:00:00.000Z
SU53086M,,민주노동당/통합진보당/정의당/정의당,0,,,,,,,,민주노동당/통합진보당/정의당/정의당,,,민주노동당/통합진보당/정의당/정의당,,,심상정,여,비례대표/경기 고양시덕양구갑/경기 고양시갑/경기 고양시갑,,,
TST4507I,"윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 기획재정위원회",//더불어민주당/더불어민주당/더불어민주당,0,,"윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 기획재정위원회","윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 기획재정위원회",,,,,//더불어민주당/더불어민주당/더불어민주당,,,//더불어민주당/더불어민주당/더불어민주당,,,안규백,남,비례대표/서울 동대문구갑/서울 동대문구갑/서울 동대문구갑/서울 동대문구갑,,,
ZA54991S,,///더불어민주당/더불어민주당,0,,,,,,,,///더불어민주당/더불어민주당,,,///더불어민주당/더불어민주당,,,안민석,남,경기 오산시화성군/경기 오산시/경기 오산시/경기 오산시/경기 오산시,,,
6MO8786S,,미래통합당,0,,,,,,,,미래통합당,,,미래통합당,,,안병길,남,부산 서구동구,,,
YOG1280B,외교통일위원회,무소속/국민의당/국민의힘/국민의힘,0,,외교통일위원회,외교통일위원회,,,,,무소속/국민의당/국민의힘/국민의힘,,,무소속/국민의당/국민의힘/국민의힘,,,안철수,남,서울 노원구병/서울 노원구병/경기 성남시분당구갑/경기 성남시분당구갑,,,
XEF29171,기후에너지환경노동위원회,더불어민주당/더불어민주당/더불어민주당,0,,기후에너지환경노동위원회,기후에너지환경노동위원회,,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,안호영,남,전북 완주군진안군무주군장수군/전북 완주군진안군무주군장수군/전북 완주군진안군무주군,,,
DV77269P,,정의당,0,,,,,,,,정의당,,,정의당,,,양경규,남,비례대표,,,
9V18755A,,더불어시민당,0,,,,,,,,더불어시민당,,,더불어시민당,,,양경숙,여,비례대표,,,
VG24001G,,미래통합당,0,,,,,,,,미래통합당,,,미래통합당,,,양금희,여,대구 북구갑,,,
KUO3574J,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,양기대,남,경기 광명시을,,,
7O71647Z,,더불어시민당,0,,,,,,,,더불어시민당,,,더불어시민당,,,양이원영,여,비례대표,,,1971-05-14T00:00:00.000Z
PZA4062H,,무소속,0,,,,,,,,무소속,,,무소속,,,양정숙,여,비례대표,,,
WHV3448W,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,양향자,여,광주 서구을,,,
8FB1535Y,농림축산식품해양수산위원회,더불어민주당/더불어민주당/더불어민주당,0,,농림축산식품해양수산위원회,농림축산식품해양수산위원회,,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,어기구,남,충남 당진시/충남 당진시/충남 당진시,,,
8348421R,국토교통위원회,미래통합당/국민의힘,0,,국토교통위원회,국토교통위원회,,,,,미래통합당/국민의힘,,,미래통합당/국민의힘,,,엄태영,남,충북 제천시단양군/충북 제천시단양군,,,
OIA3741M,"기획재정위원회, 연금개혁 특별위원회",더불어민주당/더불어민주당,0,,"기획재정위원회, 연금개혁 특별위원회","기획재정위원회, 연금개혁 특별위원회",,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,오기형,남,서울 도봉구을/서울 도봉구을,,,
MY318392,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,오영환,남,경기 의정부시갑,,,1988-02-10T00:00:00.000Z
21N57758,,더불어민주당/더불어민주당,0,,,,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,오영훈,남,제주 제주시을/제주 제주시을,,,
GE71932C,"행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",기본소득당/더불어민주연합,0,,"행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회","행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",,,,,기본소득당/더불어민주연합,,,기본소득당/더불어민주연합,,,용혜인,여,비례대표/비례대표,,,1990-04-12T00:00:00.000Z
V0O5343U,,//더불어민주당/더불어민주당,0,,,,,,,,//더불어민주당/더불어민주당,,,//더불어민주당/더불어민주당,,,우상호,남,서울특별시 서대문구갑/서울 서대문구갑/서울 서대문구갑/서울 서대문구갑,,,
F0I5053J,,국민의힘,0,,,,,,,,국민의힘,,,국민의힘,,,우신구,남,비례대표,,,
XBT9550Q,,//더불어민주당/더불어민주당/더불어민주당,0,,,,,,,,//더불어민주당/더불어민주당/더불어민주당,,,//더불어민주당/더불어민주당/더불어민주당,,,우원식,남,서울특별시 노원구을/서울 노원구을/서울 노원구을/서울 노원구을/서울 노원구갑,,,
RQQ3807K,"행정안전위원회, 기후위기 특별위원회",더불어민주당/더불어민주당/더불어민주당,0,,"행정안전위원회, 기후위기 특별위원회","행정안전위원회, 기후위기 특별위원회",,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,위성곤,남,제주 서귀포시/제주 서귀포시/제주 서귀포시,,,
9L57027L,,미래통합당,0,,,,,,,,미래통합당,,,미래통합당,,,유경준,남,서울 강남구병,,,
8FC9697X,,//더불어민주당,0,,,,,,,,//더불어민주당,,,//더불어민주당,,,유기홍,남,서울특별시 관악구갑/서울 관악구갑/서울 관악구갑,,,
GX38539O,정무위원회,더불어민주당/더불어민주당/더불어민주당,0,,정무위원회,정무위원회,,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,유동수,남,인천 계양구갑/인천 계양구갑/인천 계양구갑,,,
MU69217P,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 기획재정위원회, 국회운영위원회",미래통합당/국민의힘,0,,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 기획재정위원회, 국회운영위원회","순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 기획재정위원회, 국회운영위원회",,,,,미래통합당/국민의힘,,,미래통합당/국민의힘,,,유상범,남,강원 홍천군횡성군영월군평창군/강원 홍천군횡성군영월군평창군,,,
MRK4871S,,//미래통합당,0,,,,,,,,//미래통합당,,,//미래통합당,,,유의동,남,경기 평택시을/경기 평택시을/경기 평택시을,,,1971-06-23T00:00:00.000Z
0WL9321T,,더불어시민당,0,,,,,,,,더불어시민당,,,더불어시민당,,,유정주,여,비례대표,,,1975-12-13T00:00:00.000Z
GP07421U,"행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 정보위원회",더불어민주당/더불어민주당,0,,"행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 정보위원회","행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 정보위원회",,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,윤건영,남,서울 구로구을/서울 구로구을,,,
JMY9959W,,/더불어민주당/더불어민주당,0,,,,,,,,/더불어민주당/더불어민주당,,,/더불어민주당/더불어민주당,,,윤관석,남,인천 남동구을/인천 남동구을/인천 남동구을,,,
7JC3239L,,미래통합당,0,,,,,,,,미래통합당,,,미래통합당,,,윤두현,남,경북 경산시,,,
KNM3215T,,더불어시민당,0,,,,,,,,더불어시민당,,,더불어시민당,,,윤미향,여,비례대표,,,
MSY7784L,기후에너지환경노동위원회,//무소속/국민의힘/국민의힘,0,,기후에너지환경노동위원회,기후에너지환경노동위원회,,,,,//무소속/국민의힘/국민의힘,,,//무소속/국민의힘/국민의힘,,,윤상현,남,인천 남구을/인천 남구을/인천 남구을/인천 동구미추홀구을/인천 동구미추홀구을,,,
KFS1358P,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,윤영덕,남,광주 동구남구갑,,,
9VR65006,"연금개혁 특별위원회, 기획재정위원회",//미래통합당/국민의힘,0,,"연금개혁 특별위원회, 기획재정위원회","연금개혁 특별위원회, 기획재정위원회",,,,,//미래통합당/국민의힘,,,//미래통합당/국민의힘,,,윤영석,남,경남 양산시/경남 양산시갑/경남 양산시갑/경남 양산시갑,,,
XWX1513T,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,윤영찬,남,경기 성남시중원구,,,
SE233396,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,윤재갑,남,전남 해남군완도군진도군,,,
ZRF3039U,국토교통위원회,//미래통합당/국민의힘,0,,국토교통위원회,국토교통위원회,,,,,//미래통합당/국민의힘,,,//미래통합당/국민의힘,,,윤재옥,남,대구 달서구을/대구 달서구을/대구 달서구을/대구 달서구을,,,
ZDP5704Q,,미래한국당,0,,,,,,,,미래한국당,,,미래한국당,,,윤주경,여,비례대표,,,
JC14718Q,농림축산식품해양수산위원회,더불어민주당/더불어민주당,0,,농림축산식품해양수산위원회,농림축산식품해양수산위원회,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,윤준병,남,전북 정읍시고창군/전북 정읍시고창군,,,
40E3739H,,미래한국당,0,,,,,,,,미래한국당,,,미래한국당,,,윤창현,남,비례대표,,,
8X15119P,정무위원회,/미래통합당/국민의힘,0,,정무위원회,정무위원회,,,,,/미래통합당/국민의힘,,,/미래통합당/국민의힘,,,윤한홍,남,경남 창원시마산회원구/경남 창원시마산회원구/경남 창원시마산회원구,,,
M0A1658U,보건복지위원회,//더불어민주당/더불어민주당/더불어민주당,0,,보건복지위원회,보건복지위원회,,,,,//더불어민주당/더불어민주당/더불어민주당,,,//더불어민주당/더불어민주당/더불어민주당,,,윤호중,남,경기도 구리시/경기 구리시/경기 구리시/경기 구리시/경기 구리시,,,
O7R5461J,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",/더불어민주당/더불어민주당/더불어민주당,0,,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회","외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",,,,,/더불어민주당/더불어민주당/더불어민주당,,,/더불어민주당/더불어민주당/더불어민주당,,,윤후덕,남,경기 파주시갑/경기 파주시갑/경기 파주시갑/경기 파주시갑,,,
IUL4848V,,미래통합당,0,,,,,,,,미래통합당,,,미래통합당,,,윤희숙,여,서울 서초구갑,,,1970-02-07T00:00:00.000Z
I7R13867,보건복지위원회,/더불어민주당/더불어민주당/더불어민주당,0,,보건복지위원회,보건복지위원회,,,,,/더불어민주당/더불어민주당/더불어민주당,,,/더불어민주당/더불어민주당/더불어민주당,,,이개호,남,전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군,,,
4A067125,,//더불어민주당,0,,,,,,,,//더불어민주당,,,//더불어민주당,,,이광재,남,"강원 태백시정선군/강원 태백시,영월,평창,정선군/강원 원주시갑",,,
AE685067,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,이규민,남,경기 안성시,,,
0767470D,,////더불어민주당,0,,,,,,,,////더불어민주당,,,////더불어민주당,,,이낙연,남,"전라남도 함평,영광군/전라남도 함평,영광군/전남 함평군영광군장성군/전남 담양군함평군영광군장성군/서울 종로구",,,
QUM8288K,,/미래통합당,0,,,,,,,,/미래통합당,,,/미래통합당,,,이달곤,남,비례대표/경남 창원시진해구,,,
RO593601,,더불어시민당,0,,,,,,,,더불어시민당,,,더불어시민당,,,이동주,남,비례대표,,,1972-09-04T00:00:00.000Z
OSV9142K,"2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 농림축산식품해양수산위원회",/미래통합당/국민의힘,0,,"2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 농림축산식품해양수산위원회","2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 농림축산식품해양수산위원회",,,,,/미래통합당/국민의힘,,,/미래통합당/국민의힘,,,이만희,남,경북 영천시청도군/경북 영천시청도군/경북 영천시청도군,,,
6YT83269,,///미래통합당,0,,,,,,,,///미래통합당,,,///미래통합당,,,이명수,남,충남 아산시/충남 아산시/충남 아산시갑/충남 아산시갑,,,
HKJ99607,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,이병훈,남,광주 동구남구을,,,
ZYH1940A,,///더불어민주당/더불어민주당,0,,,,,,,,///더불어민주당/더불어민주당,,,///더불어민주당/더불어민주당,,,이상민,남,대전광역시 유성구/대전 유성구/대전 유성구/대전 유성구을/대전 유성구을,,,
CFE3998F,,/더불어민주당,0,,,,,,,,/더불어민주당,,,/더불어민주당,,,이상직,남,전북 전주시완산구을/전북 전주시을,,,
WVU2479T,,더불어민주당/더불어민주당,0,,,,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,이상헌,남,울산 북구/울산 북구,,,
8KF7223D,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,이성만,남,인천 부평구갑,,,
WTR5885Y,"기후위기 특별위원회, 예산결산특별위원회, 기획재정위원회",더불어민주당/더불어민주당,0,,"기후위기 특별위원회, 예산결산특별위원회, 기획재정위원회","기후위기 특별위원회, 예산결산특별위원회, 기획재정위원회",,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,이소영,여,경기 의왕시과천시/경기 의왕시과천시,,,1985-02-10T00:00:00.000Z
D4L60530,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,이수진,여,서울 동작구을,,,
